                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.5902,                 1.2464,                 1.5741,                0.80755,                0.63611,                0.74068,                0.40698,                 1.5606,                 1.1554,                 1.6455,             0.00052914,             0.00052914,             0.00052914
                     81,                 1.5977,                 1.2495,                 1.5656,                0.79764,                0.63885,                0.74464,                0.41381,                 1.5526,                 1.1309,                 1.6458,             0.00051029,             0.00051029,             0.00051029
                     82,                 1.6018,                 1.2683,                 1.5756,                0.71235,                0.66815,                0.73284,                0.39966,                  1.562,                 1.1911,                 1.6583,             0.00049143,             0.00049143,             0.00049143
                     83,                 1.5836,                 1.2601,                 1.5662,                0.79134,                0.63046,                0.72568,                0.40782,                 1.5535,                 1.1625,                 1.6429,             0.00047257,             0.00047257,             0.00047257
                     84,                 1.5948,                 1.2357,                 1.5544,                0.80337,                 0.6293,                0.73535,                0.40303,                 1.5696,                  1.159,                 1.6512,             0.00045371,             0.00045371,             0.00045371
                     85,                 1.5718,                 1.2314,                 1.5534,                0.81482,                0.62866,                0.73642,                0.40522,                 1.5703,                 1.1308,                  1.652,             0.00043486,             0.00043486,             0.00043486
                     86,                   1.59,                 1.2452,                 1.5624,                0.77544,                0.67261,                0.74937,                 0.4082,                 1.5671,                 1.1189,                  1.655,               0.000416,               0.000416,               0.000416
                     87,                 1.5654,                 1.2336,                 1.5519,                0.78676,                0.66433,                0.75485,                0.41998,                 1.5551,                 1.0879,                 1.6473,             0.00039714,             0.00039714,             0.00039714
                     88,                 1.5585,                 1.2222,                 1.5449,                0.79775,                0.64777,                0.75498,                0.42294,                 1.5425,                  1.113,                 1.6294,             0.00037829,             0.00037829,             0.00037829
                     89,                  1.578,                 1.2037,                 1.5413,                0.80969,                0.62866,                0.74853,                 0.4135,                 1.5619,                 1.1033,                  1.659,             0.00035943,             0.00035943,             0.00035943
                     90,                 1.5843,                 1.2066,                 1.5267,                0.81446,                0.63747,                0.75229,                0.41469,                 1.5558,                 1.1144,                 1.6345,             0.00034057,             0.00034057,             0.00034057
                     91,                 1.5218,                 1.2106,                 1.5491,                0.80609,                0.64204,                0.75021,                0.41671,                 1.5488,                 1.1055,                 1.6382,             0.00032171,             0.00032171,             0.00032171
                     92,                  1.547,                 1.1911,                 1.5295,                0.80929,                0.65679,                0.75791,                0.41995,                 1.5521,                 1.0961,                 1.6329,             0.00030286,             0.00030286,             0.00030286
                     93,                 1.5621,                 1.2053,                 1.5234,                0.78192,                0.66306,                0.76271,                0.42293,                 1.5494,                 1.0777,                 1.6379,               0.000284,               0.000284,               0.000284
                     94,                  1.537,                 1.1861,                 1.5277,                0.81359,                 0.6505,                0.76107,                0.42405,                 1.5471,                 1.0645,                 1.6312,             0.00026514,             0.00026514,             0.00026514
                     95,                  1.557,                 1.1854,                 1.5294,                0.84396,                0.65287,                0.76666,                0.42624,                 1.5343,                 1.0761,                 1.6221,             0.00024629,             0.00024629,             0.00024629
                     96,                 1.4959,                 1.1476,                 1.5115,                0.80079,                0.66497,                0.76244,                0.42157,                 1.5617,                  1.094,                 1.6414,             0.00022743,             0.00022743,             0.00022743
                     97,                 1.4861,                 1.1059,                  1.513,                0.78258,                0.67643,                0.76178,                0.41864,                 1.5594,                 1.0773,                 1.6528,             0.00020857,             0.00020857,             0.00020857
                     98,                 1.4739,                  1.091,                 1.5052,                0.81106,                0.67534,                0.76702,                0.42583,                 1.5437,                  1.074,                 1.6295,             0.00018971,             0.00018971,             0.00018971
                     99,                 1.4795,                 1.0905,                 1.5007,                0.83052,                0.66171,                0.76566,                0.42379,                 1.5593,                 1.0881,                 1.6404,             0.00017086,             0.00017086,             0.00017086
                    100,                 1.4721,                 1.0763,                    1.5,                0.82304,                0.66356,                0.77018,                0.42969,                 1.5432,                 1.0635,                 1.6314,               0.000152,               0.000152,               0.000152
                    101,                 1.4461,                 1.0587,                 1.4914,                0.82514,                0.66723,                0.76872,                0.43114,                 1.5382,                 1.0724,                 1.6291,             0.00013314,             0.00013314,             0.00013314
                    102,                 1.4761,                 1.0731,                 1.5016,                  0.828,                0.66688,                0.76648,                0.43051,                  1.539,                 1.0655,                 1.6264,             0.00011429,             0.00011429,             0.00011429
                    103,                 1.4549,                 1.0531,                 1.4795,                0.81923,                0.67256,                0.76704,                0.43019,                  1.543,                 1.0645,                 1.6338,             9.5429e-05,             9.5429e-05,             9.5429e-05
                    104,                 1.4528,                 1.0659,                 1.5026,                0.80286,                 0.6822,                0.76918,                0.42882,                 1.5404,                 1.0616,                 1.6319,             7.6571e-05,             7.6571e-05,             7.6571e-05
                    105,                 1.4469,                 1.0464,                 1.4813,                0.80682,                0.68344,                0.76889,                0.43342,                 1.5319,                 1.0662,                 1.6277,             5.7714e-05,             5.7714e-05,             5.7714e-05
