                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.7981,                 2.0503,                 2.3349,                0.56378,                0.50562,                0.50411,                0.19336,                 1.8844,                 2.0854,                 2.4793,                0.00083,                0.00083,                0.00083
                     68,                 1.7791,                 1.9758,                 2.3007,                0.74631,                0.52889,                 0.6271,                0.24512,                 1.9647,                 1.8638,                 2.5515,               0.000812,               0.000812,               0.000812
                     69,                 1.7778,                 1.9793,                 2.2987,                0.55622,                0.40449,                0.47353,                0.17507,                 2.0646,                 2.0352,                 2.6486,               0.000794,               0.000794,               0.000794
                     70,                 1.7593,                  1.964,                 2.2836,                 0.5085,                0.45339,                0.44737,                0.16681,                 1.9448,                 2.0727,                 2.5286,               0.000776,               0.000776,               0.000776
                     71,                 1.7923,                 1.8932,                 2.2539,                0.44592,                0.51543,                0.47471,                0.19805,                 1.9537,                 2.0179,                  2.557,               0.000758,               0.000758,               0.000758
                     72,                 1.7497,                 1.9177,                 2.2665,                0.52634,                0.42454,                 0.4342,                0.16682,                 1.9745,                 2.1459,                 2.5796,                0.00074,                0.00074,                0.00074
                     73,                 1.7918,                 1.9368,                 2.3058,                0.60463,                0.60674,                0.57043,                0.22088,                 1.9603,                 2.0526,                 2.5365,               0.000722,               0.000722,               0.000722
                     74,                 1.7585,                 1.8638,                 2.2761,                0.51835,                0.59254,                0.54735,                0.23684,                 1.9087,                 2.0468,                  2.542,               0.000704,               0.000704,               0.000704
                     75,                 1.8004,                   1.89,                 2.2933,                0.56305,                0.46067,                0.49544,                0.19835,                 1.9086,                 2.1934,                 2.5195,               0.000686,               0.000686,               0.000686
                     76,                 1.7358,                 1.8297,                 2.2595,                0.57129,                0.51685,                0.53041,                0.23469,                  1.886,                 2.0048,                 2.4597,               0.000668,               0.000668,               0.000668
                     77,                 1.7185,                 1.8142,                 2.2285,                0.53434,                0.46067,                0.50446,                0.20739,                 2.0152,                 1.9695,                 2.5471,                0.00065,                0.00065,                0.00065
                     78,                 1.7402,                 1.8789,                   2.25,                0.62814,                0.55041,                0.57628,                0.25312,                 1.8747,                 1.8656,                 2.4102,               0.000632,               0.000632,               0.000632
                     79,                   1.74,                 1.8504,                 2.2424,                0.66049,                0.41533,                 0.5427,                0.22928,                  1.948,                 1.9953,                 2.4985,               0.000614,               0.000614,               0.000614
                     80,                 1.7246,                 1.8872,                 2.2106,                0.65502,                 0.5618,                0.60524,                0.27866,                 1.8403,                 1.8534,                 2.4192,               0.000596,               0.000596,               0.000596
                     81,                 1.7061,                  1.806,                 2.2014,                0.57101,                0.53842,                0.51651,                0.20214,                 1.9531,                 2.1698,                 2.5535,               0.000578,               0.000578,               0.000578
                     82,                 1.7231,                 1.8052,                 2.2432,                0.60819,                0.48315,                0.56843,                0.23564,                 1.8863,                 1.9263,                 2.4471,                0.00056,                0.00056,                0.00056
                     83,                 1.6823,                 1.7659,                 2.1799,                0.56971,                0.58022,                0.54897,                0.23995,                 1.9568,                 1.9081,                 2.5067,               0.000542,               0.000542,               0.000542
                     84,                 1.6917,                 1.7852,                  2.159,                0.68459,                0.52809,                0.59202,                 0.2754,                 1.7952,                 1.7572,                 2.3702,               0.000524,               0.000524,               0.000524
                     85,                 1.6591,                  1.764,                 2.1672,                0.61356,                0.53933,                 0.5403,                 0.2269,                 1.8806,                 1.8966,                 2.4682,               0.000506,               0.000506,               0.000506
                     86,                 1.6855,                  1.773,                 2.1722,                0.57454,                0.68539,                0.58743,                0.25289,                 1.8735,                 1.8808,                 2.4287,               0.000488,               0.000488,               0.000488
                     87,                 1.6402,                 1.7238,                 2.1302,                0.59646,                0.51485,                0.54435,                0.24297,                 1.9167,                 1.9566,                 2.4906,                0.00047,                0.00047,                0.00047
                     88,                 1.6961,                 1.7708,                  2.158,                0.69268,                0.55056,                0.61246,                0.28188,                 1.8758,                 1.8101,                 2.4342,               0.000452,               0.000452,               0.000452
                     89,                 1.6391,                 1.7322,                 2.1638,                0.63685,                0.60674,                0.57102,                0.24896,                 1.9239,                 1.8712,                 2.5039,               0.000434,               0.000434,               0.000434
                     90,                 1.6252,                 1.6534,                 2.1222,                0.71285,                0.57303,                0.62415,                0.27816,                 1.8605,                 1.8127,                 2.4057,               0.000416,               0.000416,               0.000416
                     91,                 1.6515,                 1.6745,                 2.1707,                0.69615,                0.59211,                0.64106,                0.26186,                   1.93,                 1.8086,                 2.4744,               0.000398,               0.000398,               0.000398
                     92,                 1.6552,                 1.7296,                 2.1668,                0.66418,                0.62225,                0.63733,                0.26264,                  1.913,                  1.815,                  2.474,                0.00038,                0.00038,                0.00038
                     93,                  1.677,                 1.7161,                 2.1777,                0.63866,                0.61798,                0.56309,                0.22826,                 1.8766,                 1.9177,                 2.4754,               0.000362,               0.000362,               0.000362
                     94,                 1.6583,                 1.7142,                 2.1471,                0.69546,                0.59551,                0.64268,                0.29046,                 1.8254,                 1.7508,                 2.4002,               0.000344,               0.000344,               0.000344
                     95,                 1.5684,                 1.6401,                  2.085,                 0.7157,                0.62232,                 0.6345,                0.30157,                 1.8291,                 1.6841,                 2.3844,               0.000326,               0.000326,               0.000326
                     96,                 1.5762,                 1.6902,                 2.1098,                0.66269,                0.51685,                0.60849,                0.28397,                  1.823,                  1.682,                 2.3679,               0.000308,               0.000308,               0.000308
                     97,                 1.5729,                 1.6068,                 2.0844,                0.57339,                0.57303,                0.59418,                0.26806,                  1.871,                 1.7208,                 2.4193,                0.00029,                0.00029,                0.00029
                     98,                 1.6014,                 1.6424,                 2.1175,                0.71175,                0.57303,                0.62305,                0.28121,                 1.8513,                 1.7285,                 2.4126,               0.000272,               0.000272,               0.000272
                     99,                 1.5536,                 1.5467,                 2.0476,                0.66678,                0.62921,                  0.663,                0.29212,                 1.8963,                 1.7376,                 2.4455,               0.000254,               0.000254,               0.000254
                    100,                 1.5893,                 1.5887,                 2.0702,                 0.6026,                0.64045,                 0.6077,                0.26469,                 1.9228,                 1.7426,                  2.468,               0.000236,               0.000236,               0.000236
