                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.5684,                 1.7133,                 2.0224,                0.74973,                0.61419,                0.70744,                0.45282,                 1.3275,                 1.5081,                 2.0264,             0.00085368,             0.00085368,             0.00085368
                     64,                 1.5418,                 1.6217,                 1.9849,                0.82343,                0.69291,                0.79636,                0.53804,                 1.2404,                 1.4236,                 1.9765,             0.00084425,             0.00084425,             0.00084425
                     65,                 1.5214,                 1.6514,                 2.0248,                0.86509,                0.69184,                 0.8216,                0.52422,                  1.431,                 1.4276,                 2.0579,             0.00083482,             0.00083482,             0.00083482
                     66,                 1.5593,                 1.7339,                 2.0133,                0.90743,                0.64654,                0.80076,                0.51341,                 1.3692,                 1.6433,                 2.0963,             0.00082539,             0.00082539,             0.00082539
                     67,                 1.5379,                 1.6957,                 2.0117,                0.70942,                0.66496,                0.70178,                0.44057,                 1.3567,                 1.6904,                 2.0271,             0.00081596,             0.00081596,             0.00081596
                     68,                 1.4938,                 1.6696,                 1.9477,                0.74329,                0.77086,                0.83707,                0.53108,                 1.3784,                 1.3434,                 2.1193,             0.00080653,             0.00080653,             0.00080653
                     69,                 1.4827,                 1.5603,                  1.952,                0.71728,                0.72837,                 0.8022,                0.49068,                 1.4196,                 1.3633,                 2.1178,              0.0007971,              0.0007971,              0.0007971
                     70,                 1.5288,                 1.6563,                 1.9712,                0.67708,                0.67304,                0.78018,                0.48799,                  1.374,                 1.7711,                 2.1516,             0.00078766,             0.00078766,             0.00078766
                     71,                 1.4536,                 1.5957,                 1.9432,                0.79944,                0.78261,                0.84706,                0.56795,                  1.249,                 1.2592,                 1.9624,             0.00077823,             0.00077823,             0.00077823
                     72,                  1.502,                 1.5829,                 1.9528,                0.83206,                0.74433,                0.80496,                0.51822,                 1.3998,                  1.545,                 2.0833,              0.0007688,              0.0007688,              0.0007688
                     73,                 1.4934,                 1.6377,                 1.9578,                0.84997,                0.70923,                0.83195,                  0.534,                 1.3299,                 1.4118,                 1.9772,             0.00075937,             0.00075937,             0.00075937
                     74,                 1.4636,                 1.5342,                 1.9448,                0.89882,                0.68259,                0.81444,                0.51745,                 1.3671,                 1.2361,                 2.0516,             0.00074994,             0.00074994,             0.00074994
                     75,                  1.479,                 1.5656,                 1.9261,                0.82135,                0.82369,                0.87703,                0.57202,                 1.3038,                 1.2604,                 2.0129,             0.00074051,             0.00074051,             0.00074051
                     76,                  1.499,                 1.5819,                 1.9657,                0.82477,                0.79913,                0.85213,                0.54532,                 1.3109,                 1.2718,                 2.0189,             0.00073108,             0.00073108,             0.00073108
                     77,                 1.4181,                 1.5165,                 1.8873,                0.90953,                0.70829,                0.82484,                0.56166,                 1.2149,                 1.4443,                 1.9496,             0.00072164,             0.00072164,             0.00072164
                     78,                 1.4198,                 1.5166,                  1.901,                 0.8551,                0.82966,                0.86255,                0.56609,                 1.2406,                 1.2121,                 1.9481,             0.00071221,             0.00071221,             0.00071221
                     79,                 1.4032,                 1.4833,                 1.8902,                0.87302,                0.77317,                0.85832,                0.56043,                 1.3511,                  1.239,                 2.0086,             0.00070278,             0.00070278,             0.00070278
                     80,                 1.4035,                 1.4665,                 1.9073,                0.77977,                0.82864,                 0.8474,                0.57248,                 1.2985,                 1.3891,                 2.0084,             0.00069335,             0.00069335,             0.00069335
                     81,                 1.4051,                 1.5201,                 1.9072,                0.80802,                0.73599,                0.84339,                0.52474,                 1.4845,                 1.3528,                 2.1515,             0.00068392,             0.00068392,             0.00068392
                     82,                 1.4015,                 1.4691,                 1.8691,                0.66783,                0.71178,                0.73862,                0.48923,                 1.3406,                 1.4332,                  2.013,             0.00067449,             0.00067449,             0.00067449
                     83,                 1.3881,                 1.4596,                 1.8572,                 0.8304,                0.84196,                0.87528,                0.57797,                 1.2811,                 1.1224,                 1.9586,             0.00066506,             0.00066506,             0.00066506
                     84,                 1.3755,                 1.4389,                 1.8771,                0.87338,                0.80377,                0.86273,                0.55879,                 1.3259,                 1.1937,                 2.0302,             0.00065563,             0.00065563,             0.00065563
                     85,                 1.4022,                 1.4127,                 1.8816,                0.80459,                 0.7141,                0.82319,                0.54461,                 1.3183,                 1.4475,                 1.9938,             0.00064619,             0.00064619,             0.00064619
                     86,                  1.345,                 1.4419,                 1.8592,                0.82906,                0.73545,                0.81554,                0.56242,                 1.1892,                 1.1664,                 1.8794,             0.00063676,             0.00063676,             0.00063676
                     87,                 1.3336,                 1.4001,                  1.833,                0.84821,                 0.7245,                 0.8597,                0.55342,                 1.2994,                 1.2072,                 1.9715,             0.00062733,             0.00062733,             0.00062733
                     88,                 1.3494,                 1.3884,                 1.8254,                0.81541,                0.77925,                0.84209,                0.53367,                 1.4256,                 1.3289,                  2.048,              0.0006179,              0.0006179,              0.0006179
                     89,                 1.3424,                  1.446,                  1.826,                0.89637,                  0.784,                0.87207,                 0.5712,                 1.3347,                 1.2324,                 2.0087,             0.00060847,             0.00060847,             0.00060847
                     90,                 1.3533,                 1.4058,                 1.8367,                0.81942,                0.84636,                0.90568,                0.54248,                  1.436,                 1.1219,                 2.0893,             0.00059904,             0.00059904,             0.00059904
                     91,                 1.3666,                 1.3358,                 1.8298,                0.86552,                0.77704,                0.83089,                0.56747,                 1.2409,                 1.1002,                 1.9108,             0.00058961,             0.00058961,             0.00058961
                     92,                 1.4098,                   1.41,                 1.8668,                0.83185,                0.77338,                0.85744,                0.57331,                 1.2632,                 1.1235,                 1.9988,             0.00058017,             0.00058017,             0.00058017
                     93,                 1.2969,                 1.3465,                 1.7978,                0.84672,                0.84507,                0.88177,                0.58528,                 1.2035,                 1.1342,                 1.9289,             0.00057074,             0.00057074,             0.00057074
                     94,                 1.3817,                  1.395,                 1.8564,                0.83657,                0.76771,                0.83525,                0.56068,                 1.2906,                 1.0864,                 1.9724,             0.00056131,             0.00056131,             0.00056131
                     95,                 1.3169,                  1.388,                 1.8359,                 0.8116,                0.86346,                0.87887,                0.59966,                 1.2436,                 1.0625,                 1.9252,             0.00055188,             0.00055188,             0.00055188
                     96,                 1.3691,                 1.4076,                 1.8533,                0.76999,                0.79089,                 0.8431,                 0.5678,                 1.2709,                 1.0973,                 1.9356,             0.00054245,             0.00054245,             0.00054245
                     97,                 1.2831,                 1.3339,                 1.7973,                0.86433,                 0.8204,                0.88275,                0.57903,                 1.2851,                 1.1446,                 1.9601,             0.00053302,             0.00053302,             0.00053302
                     98,                  1.417,                 1.4423,                  1.899,                0.93994,                0.73856,                0.84339,                0.60368,                 1.3117,                 1.1276,                 1.9406,             0.00052359,             0.00052359,             0.00052359
                     99,                 1.3194,                 1.2655,                 1.7669,                0.89041,                0.82326,                0.86645,                0.59299,                 1.2459,                 1.0824,                 1.9348,             0.00051415,             0.00051415,             0.00051415
                    100,                 1.2729,                  1.309,                 1.7828,                0.86589,                0.73272,                0.85626,                0.58454,                 1.2299,                 1.1664,                 1.9202,             0.00050472,             0.00050472,             0.00050472
                    101,                 1.2866,                 1.3109,                 1.7712,                0.89713,                0.76606,                0.85992,                0.61084,                 1.1723,                 1.1084,                 1.8833,             0.00049529,             0.00049529,             0.00049529
                    102,                 1.2542,                 1.3449,                 1.7598,                0.87792,                0.79709,                0.88361,                 0.5763,                 1.3274,                 1.0765,                 1.9776,             0.00048586,             0.00048586,             0.00048586
                    103,                 1.3606,                 1.3333,                 1.8131,                0.87097,                0.79223,                0.86933,                0.57991,                 1.3305,                 1.1804,                 1.9903,             0.00047643,             0.00047643,             0.00047643
                    104,                 1.2684,                 1.2427,                 1.7741,                0.85878,                0.80146,                0.89395,                0.63695,                 1.1477,                  1.018,                 1.8526,               0.000467,               0.000467,               0.000467
                    105,                 1.2713,                 1.3328,                 1.7759,                0.91424,                0.77504,                 0.8905,                0.61854,                 1.1826,                 1.0268,                 1.8998,             0.00045757,             0.00045757,             0.00045757
                    106,                 1.2585,                 1.3011,                 1.7691,                0.86606,                0.82766,                0.90017,                0.62667,                 1.1461,                 1.0044,                 1.8358,             0.00044813,             0.00044813,             0.00044813
                    107,                  1.255,                 1.2724,                 1.7359,                0.87198,                0.83494,                 0.8903,                 0.6047,                 1.2145,                 1.1289,                 1.9394,              0.0004387,              0.0004387,              0.0004387
                    108,                 1.2323,                 1.2159,                 1.7229,                0.94799,                  0.852,                0.89079,                0.57521,                 1.3595,                 1.0583,                 1.9998,             0.00042927,             0.00042927,             0.00042927
                    109,                 1.2576,                 1.2586,                 1.7312,                0.94916,                0.79281,                0.89514,                0.61558,                  1.197,                0.95423,                 1.8536,             0.00041984,             0.00041984,             0.00041984
                    110,                 1.3055,                 1.2751,                 1.7449,                0.91445,                   0.83,                0.89555,                0.62533,                 1.1604,                0.99635,                 1.8141,             0.00041041,             0.00041041,             0.00041041
                    111,                 1.2572,                 1.2899,                 1.7563,                0.89606,                0.80642,                0.89104,                0.63002,                 1.1915,                0.99156,                 1.8393,             0.00040098,             0.00040098,             0.00040098
                    112,                 1.2722,                 1.2611,                 1.7407,                0.81026,                0.73451,                0.82723,                0.58796,                 1.2282,                  1.072,                 1.9021,             0.00039155,             0.00039155,             0.00039155
                    113,                  1.252,                  1.249,                 1.7448,                0.90884,                0.78195,                0.88875,                0.61122,                 1.1887,                 1.0521,                 1.8638,             0.00038211,             0.00038211,             0.00038211
                    114,                 1.2526,                 1.1852,                 1.7326,                0.87412,                0.81342,                 0.8885,                0.58626,                 1.2703,                  1.069,                  1.973,             0.00037268,             0.00037268,             0.00037268
                    115,                 1.2706,                 1.2272,                 1.7251,                0.88642,                0.85677,                0.90496,                0.62763,                 1.1797,                0.98771,                  1.859,             0.00036325,             0.00036325,             0.00036325
                    116,                 1.3547,                 1.2485,                 1.7372,                0.89393,                0.84592,                0.93293,                0.63924,                 1.1962,                 0.9987,                 1.8533,             0.00035382,             0.00035382,             0.00035382
                    117,                 1.2572,                 1.2173,                 1.7115,                0.98408,                 0.7841,                0.92081,                0.61886,                 1.2468,                 1.0567,                 1.9104,             0.00034439,             0.00034439,             0.00034439
                    118,                 1.2722,                 1.2559,                 1.7652,                0.93071,                0.81346,                 0.9164,                0.63161,                 1.1442,                 0.9738,                 1.8103,             0.00033496,             0.00033496,             0.00033496
                    119,                 1.1724,                 1.1387,                  1.684,                0.96133,                0.76781,                0.89787,                0.61421,                 1.1798,                0.98761,                 1.8324,             0.00032553,             0.00032553,             0.00032553
                    120,                 1.2327,                 1.2207,                 1.7388,                0.95128,                0.76066,                0.90901,                0.59681,                 1.2558,                 1.0163,                  1.864,             0.00031609,             0.00031609,             0.00031609
                    121,                 1.1863,                 1.1789,                 1.6706,                0.95073,                0.83143,                0.92467,                0.63092,                 1.1712,                 0.9494,                 1.8109,             0.00030666,             0.00030666,             0.00030666
                    122,                 1.1921,                 1.2122,                 1.7272,                0.89033,                0.87796,                0.91351,                 0.6399,                 1.1119,                 0.9194,                 1.7577,             0.00029723,             0.00029723,             0.00029723
                    123,                 1.2454,                 1.1835,                 1.7262,                0.92534,                 0.7725,                0.90354,                0.65335,                 1.1256,                0.95533,                 1.7656,              0.0002878,              0.0002878,              0.0002878
                    124,                 1.1924,                 1.1495,                 1.6856,                0.91913,                0.78252,                0.88847,                0.60533,                 1.1655,                0.98187,                 1.8612,             0.00027837,             0.00027837,             0.00027837
                    125,                  1.202,                  1.158,                 1.6742,                0.95567,                0.84723,                0.91292,                0.63541,                 1.1252,                0.93754,                 1.8012,             0.00026894,             0.00026894,             0.00026894
                    126,                 1.1937,                 1.1615,                 1.6847,                0.93906,                0.86481,                0.93713,                0.65167,                 1.1203,                0.88296,                 1.7466,             0.00025951,             0.00025951,             0.00025951
                    127,                 1.2469,                 1.1897,                 1.7076,                0.95308,                0.83366,                0.93471,                0.67054,                 1.0936,                0.94012,                 1.7373,             0.00025007,             0.00025007,             0.00025007
                    128,                 1.2027,                 1.1106,                  1.679,                0.95165,                0.85427,                0.93217,                0.64656,                 1.1138,                0.88579,                 1.7594,             0.00024064,             0.00024064,             0.00024064
                    129,                 1.1972,                 1.1728,                  1.684,                 0.8661,                0.79748,                0.89379,                0.61129,                 1.1262,                0.94215,                 1.8111,             0.00023121,             0.00023121,             0.00023121
                    130,                 1.1846,                 1.1228,                 1.6542,                0.91953,                0.81436,                0.90545,                0.65063,                 1.1176,                0.88654,                 1.7654,             0.00022178,             0.00022178,             0.00022178
                    131,                 1.1131,                 1.0552,                 1.6318,                0.90607,                0.87083,                0.92686,                0.66774,                 1.0714,                0.88846,                 1.7295,             0.00021235,             0.00021235,             0.00021235
                    132,                 1.1909,                 1.1316,                   1.67,                0.97597,                0.83143,                 0.9111,                0.65318,                 1.0921,                0.90447,                 1.7632,             0.00020292,             0.00020292,             0.00020292
                    133,                 1.1764,                 1.1514,                 1.6494,                0.97028,                0.82283,                0.91883,                0.65652,                  1.089,                0.89743,                 1.7799,             0.00019349,             0.00019349,             0.00019349
                    134,                 1.1722,                 1.1007,                 1.6446,                0.84287,                0.89919,                0.91752,                0.63742,                 1.1122,                0.91947,                 1.7821,             0.00018406,             0.00018406,             0.00018406
                    135,                 1.1482,                 1.1493,                 1.6536,                0.88623,                0.84961,                0.91648,                0.64273,                 1.1117,                0.90775,                 1.7864,             0.00017462,             0.00017462,             0.00017462
                    136,                  1.157,                 1.1075,                 1.6438,                0.84745,                0.89855,                0.90846,                0.66322,                 1.0393,                0.91951,                 1.7111,             0.00016519,             0.00016519,             0.00016519
                    137,                 1.1499,                 1.1304,                 1.6393,                0.87874,                0.86374,                0.91585,                0.65846,                 1.0489,                0.91262,                 1.7136,             0.00015576,             0.00015576,             0.00015576
                    138,                 1.1466,                 1.1505,                 1.6256,                0.89807,                0.85001,                0.92035,                0.66757,                 1.0519,                0.92892,                 1.7138,             0.00014633,             0.00014633,             0.00014633
                    139,                  1.098,                 1.0202,                 1.5937,                0.95771,                0.80546,                0.92684,                0.67428,                 1.0138,                0.90956,                 1.6877,              0.0001369,              0.0001369,              0.0001369
                    140,                 1.1331,                 1.0549,                 1.6114,                0.86793,                0.89477,                0.92957,                0.67755,                 1.0167,                0.89762,                 1.7094,             0.00012747,             0.00012747,             0.00012747
                    141,                 1.0547,                 1.1227,                 1.5998,                0.90355,                0.84545,                0.92703,                0.66875,                 1.0382,                0.91697,                 1.7106,             0.00011804,             0.00011804,             0.00011804
                    142,                 1.0232,                 0.9939,                 1.5431,                0.92113,                 0.8042,                0.84178,                0.60577,                 1.1619,                0.97534,                 1.8106,              0.0001086,              0.0001086,              0.0001086
                    143,                0.98269,                0.91409,                 1.5272,                0.94657,                0.86446,                0.91887,                0.65754,                 1.0642,                0.89489,                 1.7394,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    144,                0.97944,                0.93711,                 1.5537,                0.91061,                0.82906,                0.87864,                0.64282,                 1.0842,                0.92536,                 1.7639,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    145,                0.98174,                0.89613,                 1.5459,                 0.9419,                0.81182,                0.87392,                0.63445,                 1.0662,                0.93871,                 1.7549,              8.031e-05,              8.031e-05,              8.031e-05
                    146,                0.93349,                0.86414,                 1.5074,                0.95178,                0.84281,                0.90872,                0.64599,                 1.0362,                0.88865,                  1.725,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    147,                0.95865,                0.91078,                 1.5252,                  0.934,                0.85728,                0.92052,                0.65919,                 1.0453,                0.86461,                 1.7173,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    148,                0.91743,                0.80781,                 1.4659,                0.92761,                0.86412,                0.92362,                0.66303,                 1.0377,                0.86794,                 1.7069,             5.2016e-05,             5.2016e-05,             5.2016e-05
                    149,                0.90954,                0.83554,                 1.4877,                 0.9268,                0.86085,                0.91935,                 0.6598,                 1.0409,                0.85707,                 1.7004,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    150,                0.92987,                0.90313,                 1.4993,                0.95734,                0.82745,                 0.9187,                0.66891,                 1.0472,                0.86201,                 1.7116,             3.3153e-05,             3.3153e-05,             3.3153e-05
